1,北京市,2015-11-25,69
2,天津市,2015-11-25,84
3,石家庄市,2015-11-25,88
4,唐山市,2015-11-25,130
5,秦皇岛市,2015-11-25,49
6,邯郸市,2015-11-25,133
7,邢台市,2015-11-25,117
8,保定市,2015-11-25,77
9,承德市,2015-11-25,50
10,沧州市,2015-11-25,127
11,廊坊市,2015-11-25,113
12,衡水市,2015-11-25,143
13,张家口市,2015-11-25,48
14,太原市,2015-11-25,77
15,大同市,2015-11-25,62
16,阳泉市,2015-11-25,107
17,长治市,2015-11-25,64
18,晋城市,2015-11-25,107
19,朔州市,2015-11-25,58
20,晋中市,2015-11-25,87
21,运城市,2015-11-25,48
22,忻州市,2015-11-25,119
23,临汾市,2015-11-25,77
24,吕梁市,2015-11-25,58
25,呼和浩特市,2015-11-25,45
26,包头市,2015-11-25,42
27,乌海市,2015-11-25,40
28,赤峰市,2015-11-25,62
29,通辽市,2015-11-25,52
30,鄂尔多斯市,2015-11-25,35
31,呼伦贝尔市,2015-11-25,59
32,巴彦淖尔市,2015-11-25,40
33,乌兰察布市,2015-11-25,53
34,兴安盟,2015-11-25,53
35,锡林郭勒盟,2015-11-25,53
36,阿拉善盟,2015-11-25,68
37,沈阳市,2015-11-25,77
38,大连市,2015-11-25,43
39,瓦房店市,2015-11-25,60
40,鞍山市,2015-11-25,93
41,抚顺市,2015-11-25,54
42,本溪市,2015-11-25,77
43,丹东市,2015-11-25,57
44,锦州市,2015-11-25,66
45,营口市,2015-11-25,40
46,阜新市,2015-11-25,53
47,辽阳市,2015-11-25,73
48,盘锦市,2015-11-25,44
49,铁岭市,2015-11-25,64
50,朝阳市,2015-11-25,57
51,葫芦岛市,2015-11-25,35
52,长春市,2015-11-25,69
53,吉林市,2015-11-25,72
54,四平市,2015-11-25,98
55,辽源市,2015-11-25,54
56,通化市,2015-11-25,91
57,白山市,2015-11-25,54
58,松原市,2015-11-25,110
59,白城市,2015-11-25,67
60,延边州,2015-11-25,67
61,哈尔滨市,2015-11-25,117
62,齐齐哈尔市,2015-11-25,65
63,鸡西市,2015-11-25,43
64,鹤岗市,2015-11-25,43
65,双鸭山市,2015-11-25,57
66,大庆市,2015-11-25,58
67,伊春市,2015-11-25,33
68,佳木斯市,2015-11-25,50
69,七台河市,2015-11-25,107
70,牡丹江市,2015-11-25,77
71,黑河市,2015-11-25,32
72,绥化市,2015-11-25,117
73,大兴安岭地区,2015-11-25,35
74,上海市,2015-11-25,46
75,南京市,2015-11-25,58
76,无锡市,2015-11-25,54
77,江阴市,2015-11-25,54
78,宜兴市,2015-11-25,38
79,徐州市,2015-11-25,87
80,常州市,2015-11-25,60
81,溧阳市,2015-11-25,49
82,金坛市,2015-11-25,52
83,苏州市,2015-11-25,55
84,常熟市,2015-11-25,54
85,张家港市,2015-11-25,53
86,昆山市,2015-11-25,49
87,吴江市,2015-11-25,51
88,太仓市,2015-11-25,62
89,南通市,2015-11-25,48
90,海门市,2015-11-25,39
91,连云港市,2015-11-25,73
92,淮安市,2015-11-25,59
93,盐城市,2015-11-25,50
94,扬州市,2015-11-25,53
95,镇江市,2015-11-25,69
96,句容市,2015-11-25,38
97,泰州市,2015-11-25,52
98,宿迁市,2015-11-25,93
99,杭州市,2015-11-25,39
100,富阳市,2015-11-25,30
101,临安市,2015-11-25,33
102,宁波市,2015-11-25,39
103,温州市,2015-11-25,38
104,嘉兴市,2015-11-25,39
105,湖州市,2015-11-25,32
106,诸暨市,2015-11-25,None
107,金华市,2015-11-25,42
108,义乌市,2015-11-25,33
109,衢州市,2015-11-25,32
110,舟山市,2015-11-25,38
111,台州市,2015-11-25,28
112,丽水市,2015-11-25,27
113,绍兴市,2015-11-25,49
114,合肥市,2015-11-25,74
115,芜湖市,2015-11-25,59
116,蚌埠市,2015-11-25,77
117,淮南市,2015-11-25,87
118,马鞍山市,2015-11-25,58
119,淮北市,2015-11-25,55
120,铜陵市,2015-11-25,49
121,安庆市,2015-11-25,40
122,黄山市,2015-11-25,23
123,滁州市,2015-11-25,62
124,阜阳市,2015-11-25,45
125,宿州市,2015-11-25,67
126,六安市,2015-11-25,73
127,亳州市,2015-11-25,None
128,池州市,2015-11-25,26
129,宣城市,2015-11-25,40
130,福州市,2015-11-25,35
131,厦门市,2015-11-25,51
132,莆田市,2015-11-25,39
133,三明市,2015-11-25,31
134,泉州市,2015-11-25,42
135,漳州市,2015-11-25,60
136,南平市,2015-11-25,23
137,龙岩市,2015-11-25,32
138,宁德市,2015-11-25,40
139,南昌市,2015-11-25,24
140,景德镇市,2015-11-25,22
141,萍乡市,2015-11-25,43
142,九江市,2015-11-25,51
143,新余市,2015-11-25,34
144,鹰潭市,2015-11-25,25
145,赣州市,2015-11-25,31
146,吉安市,2015-11-25,30
147,宜春市,2015-11-25,38
148,抚州市,2015-11-25,26
149,上饶市,2015-11-25,29
150,济南市,2015-11-25,97
151,章丘市,2015-11-25,102
152,青岛市,2015-11-25,65
153,胶州市,2015-11-25,59
154,即墨市,2015-11-25,67
155,平度市,2015-11-25,67
156,胶南市,2015-11-25,84
157,莱西市,2015-11-25,38
158,淄博市,2015-11-25,90
159,枣庄市,2015-11-25,119
160,东营市,2015-11-25,82
161,烟台市,2015-11-25,34
162,莱州市,2015-11-25,44
163,蓬莱市,2015-11-25,35
164,招远市,2015-11-25,53
165,潍坊市,2015-11-25,79
166,寿光市,2015-11-25,92
167,济宁市,2015-11-25,100
168,泰安市,2015-11-25,74
169,威海市,2015-11-25,31
170,文登市,2015-11-25,33
171,荣成市,2015-11-25,28
172,乳山市,2015-11-25,27
173,日照市,2015-11-25,58
174,莱芜市,2015-11-25,93
175,临沂市,2015-11-25,113
176,德州市,2015-11-25,144
177,聊城市,2015-11-25,105
178,滨州市,2015-11-25,80
179,菏泽市,2015-11-25,119
180,郑州市,2015-11-25,94
181,开封市,2015-11-25,127
182,洛阳市,2015-11-25,46
183,平顶山市,2015-11-25,58
184,安阳市,2015-11-25,92
185,鹤壁市,2015-11-25,108
186,新乡市,2015-11-25,104
187,焦作市,2015-11-25,79
188,濮阳市,2015-11-25,74
189,许昌市,2015-11-25,80
190,漯河市,2015-11-25,95
191,三门峡市,2015-11-25,59
192,南阳市,2015-11-25,53
193,商丘市,2015-11-25,112
194,信阳市,2015-11-25,59
195,周口市,2015-11-25,119
196,驻马店市,2015-11-25,68
197,武汉市,2015-11-25,84
198,黄石市,2015-11-25,62
199,十堰市,2015-11-25,49
200,宜昌市,2015-11-25,56
201,襄阳市,2015-11-25,69
202,鄂州市,2015-11-25,74
203,荆门市,2015-11-25,56
204,孝感市,2015-11-25,87
205,荆州市,2015-11-25,55
206,黄冈市,2015-11-25,49
207,咸宁市,2015-11-25,63
208,随州市,2015-11-25,58
209,恩施州,2015-11-25,33
210,长沙市,2015-11-25,49
211,株洲市,2015-11-25,45
212,湘潭市,2015-11-25,41
213,衡阳市,2015-11-25,35
214,邵阳市,2015-11-25,39
215,岳阳市,2015-11-25,55
216,常德市,2015-11-25,36
217,张家界市,2015-11-25,40
218,益阳市,2015-11-25,52
219,郴州市,2015-11-25,26
220,永州市,2015-11-25,26
221,怀化市,2015-11-25,51
222,娄底市,2015-11-25,47
223,湘西州,2015-11-25,42
224,广州市,2015-11-25,55
225,韶关市,2015-11-25,24
226,深圳市,2015-11-25,51
227,珠海市,2015-11-25,54
228,汕头市,2015-11-25,56
229,佛山市,2015-11-25,54
230,江门市,2015-11-25,59
231,湛江市,2015-11-25,65
232,茂名市,2015-11-25,56
233,肇庆市,2015-11-25,38
234,惠州市,2015-11-25,50
235,梅州市,2015-11-25,36
236,汕尾市,2015-11-25,55
237,河源市,2015-11-25,40
238,阳江市,2015-11-25,58
239,清远市,2015-11-25,28
240,东莞市,2015-11-25,54
241,中山市,2015-11-25,51
242,潮州市,2015-11-25,60
243,揭阳市,2015-11-25,56
244,云浮市,2015-11-25,44
245,南宁市,2015-11-25,44
246,柳州市,2015-11-25,40
247,桂林市,2015-11-25,26
248,梧州市,2015-11-25,30
249,北海市,2015-11-25,49
250,防城港市,2015-11-25,57
251,钦州市,2015-11-25,58
252,贵港市,2015-11-25,32
253,玉林市,2015-11-25,40
254,百色市,2015-11-25,22
255,贺州市,2015-11-25,20
256,河池市,2015-11-25,42
257,来宾市,2015-11-25,29
258,崇左市,2015-11-25,31
259,海口市,2015-11-25,89
260,三亚市,2015-11-25,47
261,重庆市,2015-11-25,46
262,成都市,2015-11-25,68
263,自贡市,2015-11-25,52
264,攀枝花市,2015-11-25,63
265,泸州市,2015-11-25,42
266,德阳市,2015-11-25,50
267,绵阳市,2015-11-25,57
268,广元市,2015-11-25,60
269,遂宁市,2015-11-25,47
270,内江市,2015-11-25,32
271,乐山市,2015-11-25,58
272,南充市,2015-11-25,52
273,眉山市,2015-11-25,41
274,宜宾市,2015-11-25,40
275,广安市,2015-11-25,40
276,达州市,2015-11-25,62
277,雅安市,2015-11-25,42
278,巴中市,2015-11-25,50
279,资阳市,2015-11-25,41
280,阿坝州,2015-11-25,None
281,甘孜州,2015-11-25,27
282,凉山州,2015-11-25,53
283,贵阳市,2015-11-25,55
284,六盘水市,2015-11-25,55
285,遵义市,2015-11-25,43
286,安顺市,2015-11-25,30
287,铜仁地区,2015-11-25,29
288,黔西南州,2015-11-25,38
289,毕节市,2015-11-25,38
